#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC,Explicit
3476,"ALIVE","Mattilo",130,8A,89,2025-01-18,02:50,36,"stutter house","ALIVE",2023-12-15,66,23,45,20,0,90,-6,A Minor,4,1eiD9V8Ypb1ASaEQrtwWNw,QMFMG2336061,no
3477,"pretty girl I’ll make you famous","Chandler Leighton",120,12B,57,2025-01-21,02:45,56,"melodic bass","pretty girl I’ll make you famous",2024-10-18,66,10,0,17,0,10,-8,E Major,4,4HX1f113qsJDmwwGL6QeV7,QM24S2405157,no
3478,"Feel Alive","Brooke Daye",130,6A,89,2025-01-21,02:59,21,"","Feel Alive",2024-11-01,59,4,0,25,10,10,-5,G Minor,4,0Bsq4cekaLLeYskZmmRuAV,QZWFP2447947,no
3479,"Live Or Die","Brooke Daye",140,8B,75,2025-01-21,02:31,30,"","Live Or Die",2024-03-29,69,0,0,85,0,10,-5,C Major,4,78gfrqVsMKemZp6alMCuRt,QZES62467981,no
3480,"Strangers","Kenya Grace",170,10A,52,2025-01-21,02:52,75,"","The After Taste",2024-03-21,63,70,0,42,0,20,-8,B Minor,4,593knnQN4REEshx8th9zgK,USWB12305048,no
3481,"Lose Control","Teddy Swims",160,11B,60,2025-01-21,03:30,90,"","I've Tried Everything But Therapy (Part 1)",2023-09-15,56,20,0,24,0,10,-4,A Major,3,17phhZDn6oGtzMe56NuWvj,USWB12302315,no
3482,"Safety Net","Bea",128,12A,79,2025-01-21,03:23,16,"","Safety Net",2024-09-13,77,31,0,84,0,10,-4,C♯/D♭ Minor,4,78VpLcR9t7mSZGOBEsYOfp,GBAHT2400556,yes
3483,"People Leave","Lauren Presley",77,9A,51,2025-01-21,03:12,45,"","People Leave",2024-11-29,56,1,0,13,0,20,-7,E Minor,4,6DpqEim9YE6jgh9cinChYi,QZS7J2455191,no
3484,"that won't save us","Against The Current",155,2B,84,2025-01-21,03:20,38,"pop punk","that won't save us",2020-10-28,47,0,0,37,0,0,-6,F#/G♭ Major,4,4sB0hXFEmjZJR09ilZWsQw,USAT22006353,yes
3485,"Sweet Surrender","Against The Current",104,6A,56,2025-01-21,03:32,39,"pop punk","Past Lives",2018-09-28,67,1,0,13,0,10,-6,G Minor,4,6fdlaC5si7eOtF1sxXZPf4,USAT21810773,no
3486,"Voices","Against The Current",105,6A,85,2025-01-21,03:24,49,"pop punk","Past Lives",2018-09-28,72,0,0,79,0,0,-5,G Minor,4,7JzWz4mgrthdmX52b0Z7mz,USAT21810768,no
3487,"Strangers Again","Against The Current",90,4B,68,2025-01-21,03:42,46,"pop punk","Past Lives",2018-09-28,61,1,0,31,0,10,-6,G#/A♭ Major,4,7Kl1uO2Dz3iVZvjUWR8AC0,USAT21802175,no
3488,"Cigarettes & Feelings","The Haunt",142,6A,79,2025-01-21,03:32,56,"","Cigarettes & Feelings",2019-09-27,68,25,0,88,0,30,-5,G Minor,4,1HhKB5bR5r0zCpcYQ8N6Dt,QZHZ31962451,yes
3489,"Bad Omen","The Haunt",140,9A,89,2025-01-21,02:30,36,"","Bad Omen",2024-10-25,56,1,0,70,0,10,-3,E Minor,4,3yRC0WNQmx0DfgnVEtmKBA,CAN112401970,yes
3490,"New Addiction","The Haunt",160,5A,98,2025-01-21,03:09,36,"","New Addiction",2024-08-09,49,0,0,32,20,10,-2,C Minor,4,5WZ72ExNSGZtRrcc3HGIft,CAN112401550,no
3491,"Goodbye (feat. Xillions)","le Shuuk,Xillions",142,12A,80,2025-01-22,02:35,52,"hardstyle, big room, slap house","Goodbye (feat. Xillions)",2020-10-09,69,4,0,51,10,0,-5,C♯/D♭ Minor,4,0ncgj6yTGzZ4GwX2dbXAKE,NLZ542001564,no
3492,"Right Now (Na Na Na)","BasslandeR",128,1A,64,2025-01-22,04:02,15,"slap house","Right Now (Na Na Na)",2023-01-13,73,2,0,35,20,50,-11,G#/A♭ Minor,4,6xsm390Dbg57XGehqofbZD,QMFME2262934,no
3493,"Marigold","Aimyon",106,10B,75,2025-01-22,05:06,61,"j-pop","Momentary Sixth Sense",2019-02-13,55,5,0,41,0,0,-3,D Major,4,5NqGfELjcdvRIUuhgZJ34W,JPWP81800369,no
3494,"Awake My Dreams","Edgar Hopp",104,6B,43,2025-01-22,03:12,42,"","Majestica",2024-11-29,53,23,84,4,0,0,-14,A#/B♭ Major,4,5Eh6HvFdJmK6JLtsYeEMYP,SE5Q52403799,no
3495,"Eraser","LYELL",200,10B,89,2025-01-22,02:30,38,"","Eraser",2022-03-18,30,10,0,52,10,10,-4,D Major,4,0nkAPLYLJpOkIDY8AvGQ1e,QZFZ22251928,no
3496,"Angel Of Satisfaction","Rose Gray",128,4B,76,2025-01-23,03:31,0,"","Louder, Please",2025-01-17,70,2,0,54,0,0,-5,G#/A♭ Major,4,6f5naz4RZs9v5TezinPsHi,GBENL2403979,no
3497,"cool on the internet","margø",121,5A,72,2025-01-23,02:21,43,"","cool on the internet",2022-07-29,72,5,0,40,0,0,-3,C Minor,4,6HMxF1RJilVOcdRmxfobya,UK6KW2200094,no
3498,"BODY//TEMPLE","Holy Wars",133,9A,93,2025-01-23,03:25,34,"","BODY//TEMPLE",2023-09-21,52,0,0,39,0,30,-4,E Minor,4,27JkJCQwvAxWOvGotwkiBp,QMRSZ2301868,no
3499,"Candy Coated Lie$","Hot Milk",106,7B,89,2025-01-23,02:57,56,"pop punk","Candy Coated Lie$",2019-11-18,63,0,0,54,0,40,-4,F Major,4,5Xr1q4GLTnNZu6c4K9rsNh,TCAEN1932970,no
3500,"Emotion Sickness","Said The Sky,Parachute",168,3B,70,2025-01-23,03:22,15,"melodic bass, future bass, edm, chillstep, ","Emotion Sickness",2022-02-16,47,2,0,24,0,10,-5,C♯/D♭ Major,4,1fT1qqkJxKL5Lfi5HOlZua,GBKPL2282216,no
3501,"Call on Me - Radio Mix","Eric Prydz",126,6B,84,2025-01-26,02:51,82,"","Call on Me (Radio Mix)",2004-09-10,60,0,0,45,30,80,-7,A#/B♭ Major,4,1xNcBAoUw8Hz6LqK2jt4Ff,GBCEN0400130,no
3502,"Call on Me - Ryan Riback Remix","Starley,Ryan Riback",105,8B,84,2025-01-26,03:42,1,"melbourne bounce","One of One",2020-09-25,67,6,0,72,0,10,-4,C Major,4,7GBS3dP7vbK3jYRRr1hNBN,AUCN31209086,no
3503,"Don't Be so Shy - Filatov & Karas Remix","Imany,Filatov & Karas",120,1A,90,2025-01-28,03:11,66,"","The Wrong Kind of War",2016-08-26,77,5,1,91,0,30,-6,G#/A♭ Minor,4,4bNqSJ92afDvDZiYgpckVf,RUA591500339,no
3504,"Remember (with ZOHARA)","Gryffin,ZOHARA",123,10A,90,2025-01-28,03:41,56,"edm, melodic bass, future bass, ","Gravity",2019-10-24,62,10,4,50,0,20,-4,B Minor,4,3aFxfpfeATHYg1n750dhgq,USUM71817462,no
3505,"Hello","Martin Solveig,Dragonette",128,5B,93,2025-01-30,04:41,72,"french house, ","Smash",2011-01-01,67,3,1,46,0,0,-4,D#/E♭ Major,4,2Hy89WQAxszEUQAvpja0nx,FR2PA1000020,no
3506,"All Night Long - Ti-Mo Remix Edit","Ray Knox,Ti-Mo",142,9B,99,2025-01-30,03:18,55,"hardstyle","All Night Long",2013-02-01,66,0,0,56,0,50,-5,G Major,4,5ebvNOw5QVR4x56FHoPrx1,DEGP21200525,no
3507,"All Day And Night","Jax Jones,Martin Solveig,Madison Beer,Europa",122,12A,77,2025-01-30,02:49,66,"french house, ","Snacks",2019-07-12,56,33,0,54,10,10,-4,C♯/D♭ Minor,4,5naYe7rLMZcLfO1DKg48MK,GBUM71900522,no
3508,"Better Days","Oceandvst",136,10B,85,2025-01-30,03:28,4,"","Better Days",2023-07-07,54,0,0,52,0,10,-8,D Major,4,2Gq2SVr3MnOj4VIPnTLvlx,USHM82336521,no
3509,"Part of Me","American Wolves",146,5B,94,2025-01-30,03:23,42,"","Part of Me",2016-03-15,48,0,0,52,0,20,-4,D#/E♭ Major,4,7K67LPW48UmDarAd7FELCn,TCACM1655909,no
3510,"Fever Dream","Rival,Luxtides",95,1A,67,2025-01-30,02:32,28,"melodic bass","Fever Dream",2022-03-18,58,28,0,30,0,50,-4,G#/A♭ Minor,4,1lwcavs7D5vkqawzn5vbqI,QM4TW2284972,no
3511,"Start a Fire","Ryan Star",125,3B,84,2025-01-30,03:19,48,"","11:59 (Deluxe)",2010-08-02,52,1,0,41,0,10,-6,C♯/D♭ Major,4,1oRwIhvArpEkqzTiGHTL4i,USAT21001332,no
3512,"Strong","Amaranthe,Noora Louhimo",180,8B,95,2025-01-30,03:06,55,"symphonic metal, power metal, metal, finnish rock, finnish pop","Manifest",2020-10-02,44,0,0,56,0,10,-7,C Major,4,4OYa2PXcdFhsg3SGkevSjl,DED832000452,no
3513,"Somewhere Better","Ad Infinitum",148,11A,84,2025-01-30,04:08,22,"symphonic metal, power metal, gothic metal","Somewhere Better",2022-11-22,40,0,0,43,0,40,-9,F#/G♭ Minor,4,0GyV45JIZhjYxDqMEDc3vz,ATN262219405,no
3514,"Fall Into","Ally Nicholas",140,11A,84,2025-01-31,03:06,67,"","Fall Into",2023-08-08,45,0,0,14,0,10,-5,F#/G♭ Minor,4,555rXDsUt8rmNwkWpAPYcW,AUMEV2380184,no
3515,"use me","Charlotte Sands",162,8B,96,2025-01-31,03:01,30,"","use me",2023-09-13,43,0,0,22,10,20,-2,C Major,4,0KNLFtX4moDQ4jcuziocBQ,QZXPU2300039,yes
3516,"Nme","Oceandvst",160,6A,82,2025-01-31,03:52,5,"","Nme",2022-11-25,48,0,2,39,0,0,-8,G Minor,4,0CW9jwcI3LxTHrocsu1Q8V,USL4Q2226412,no
3517,"Guarded Skies","Edgar Hopp",150,12B,41,2025-02-01,03:03,21,"","Breaking Away",2017-08-11,30,76,9,8,0,30,-13,E Major,4,0tEcfYeRwzfXhjf5yekD3V,SE5Q51826247,no
3518,"Underdog","Never Obey Again",130,1A,92,2025-02-01,03:08,37,"","The End Of An Era",2023-09-22,46,0,31,28,0,0,-4,G#/A♭ Minor,4,0KMUzOEKHXiaAXXJNtyJiw,ITD292302631,no
3519,"Toxic Feelings","Never Obey Again",101,11A,95,2025-02-01,03:33,35,"","The End Of An Era",2023-09-22,49,0,0,15,10,10,-4,F#/G♭ Minor,3,72UXtjkCMEAgWOtm1Pnosa,ITD292302628,no
3520,"Trust","Never Obey Again",174,8A,89,2025-02-01,04:34,6,"","Trust",2024-10-04,33,0,65,26,0,10,-4,A Minor,4,5dkI2bmhDfXdEKzguLhNsG,ITD292402830,no
3521,"hunter","Paris Paloma",170,7A,58,2025-02-01,03:19,33,"","HUNTER (the cacophony)",2025-01-17,49,37,0,32,0,10,-8,D Minor,3,0HzbGhvs8dhn1gNNjBit9L,CAN112400007,no
3522,"Even God","LUM!X,jayover",150,12A,93,2025-02-01,02:08,40,"slap house, melbourne bounce, ","Even God",2025-01-03,63,1,0,43,0,10,-5,C♯/D♭ Minor,4,1YAUcovWvgdgMXX45XjDl5,ITV952400335,no
3523,"Can’t Catch Me Now - from The Hunger Games: The Ballad of Songbirds & Snakes","Olivia Rodrigo",141,10A,35,2025-02-01,03:25,76,"","Can’t Catch Me Now (from The Hunger Games: The Ballad of Songbirds & Snakes)",2023-11-03,41,83,0,20,0,10,-8,B Minor,4,56xHMIfQPoe0prrSi3BGhf,USUG12307028,no
3524,"A Dangerous Thing","AURORA",106,10A,56,2025-02-01,03:35,54,"norwegian pop, art pop","The Gods We Can Touch",2022-01-21,55,48,0,11,0,10,-6,B Minor,4,5DwtDZC9IkGwh7zqCWXqV3,GBUM72102606,no
3525,"Brave New World","Kalandra",144,11A,51,2025-02-01,03:59,56,"","The Line",2020-10-23,48,25,0,18,0,10,-10,F#/G♭ Minor,4,4KLTJBsPLOFsNsnGHivuX2,NONAT1802011,no
3526,"Ghosts","Kalandra",108,7B,35,2025-02-01,04:51,42,"","Ghosts",2024-11-22,43,58,0,7,0,10,-9,F Major,4,68KqKNBzc7aEAD8sj39LGJ,NONAT2404010,no
3527,"Forever Young","Alan Walker",151,7A,64,2025-02-03,02:58,47,"","Forever Young",2025-01-17,53,12,2,17,0,10,-7,D Minor,4,0wOdcEgqadzlYgBGunlHMV,NOG842502010,no
3528,"Boomerang","Nova Charisma",128,3A,98,2025-02-03,03:39,16,"post-hardcore","Exposition I",2019-08-22,48,0,0,54,10,10,-4,A#/B♭ Minor,4,3awCncztKOqcI1WBurqb78,ITH711900079,no
3529,"Please Tell Rosie","Alle Farben,YouNotUs",122,5A,68,2025-02-05,02:52,57,"","Music Is My Best Friend",2016-07-15,72,2,1,77,0,10,-8,C Minor,4,5gF9zOYM9TmSzKHukbNjpB,DEE861600180,no
3530,"Dark Secrets","Empire Of The Sun",156,6A,71,2025-02-05,03:29,45,"","Ask That God (Deluxe)",2025-01-24,53,3,0,38,0,10,-6,G Minor,4,3wpwQ7n5fHHkGQ5Upy5MZX,AU2DY2400444,no
3531,"Just For Right Now","Midnight Kids,Casey Cook",118,9B,63,2025-02-05,03:43,22,"melodic bass, future bass","The Long Way Home",2023-09-29,55,25,0,25,0,0,-6,G Major,4,0e7MyG8qoeI5Hn7mtEbhOy,NLRD52257943,no
3532,"Not Your Man","Teddy Swims",110,9A,84,2025-02-08,03:37,70,"","I've Tried Everything But Therapy (Part 2)",2025-01-24,68,2,0,68,0,10,-4,E Minor,4,1fQknzJ5j8dreu0zjTkFpl,USWB12404287,no
3533,"Kiss The Sky","G-Eazy",79,10A,75,2025-02-08,03:22,45,"","Kiss The Sky",2025-02-06,70,7,0,29,10,20,-5,B Minor,4,2SuRhgjUzegI6wP1SswwnG,USRC12403803,no
3534,"KISS ME WITH YOUR EYES","Morgan Clae",160,9A,61,2025-02-10,04:23,40,"","KISS ME WITH YOUR EYES",2024-04-26,19,20,0,16,0,10,-7,E Minor,3,02raQOi7FsnfP7V3gOmhBe,QZK6P2484665,no
3535,"My Ordinary Life","The Living Tombstone",176,8A,80,2025-02-10,03:50,77,"","My Ordinary Life",2017-11-23,64,1,42,60,0,20,-5,A Minor,4,3FdopY118eIYv5COjji7Sa,QZANL1777908,no
3536,"Be Alone","The Living Tombstone",136,10A,81,2025-02-10,02:29,41,"","Be Alone",2025-02-07,60,0,0,73,10,10,-8,B Minor,4,5oP6BFlJ5vAmSeJm6ge0BQ,QZJ842500139,no
3537,"don't come back","jigitz",160,9B,95,2025-02-10,03:09,39,"stutter house","don't come back",2024-07-26,62,5,13,53,0,10,-3,G Major,4,3tPrgyExznmJs4wA51yXlJ,USA2P2442367,no
3538,"Headlock","Imogen Heap",120,6A,37,2025-02-10,03:35,86,"","Speak for Yourself (Deluxe Version)",2005-00-00,81,79,0,79,0,10,-11,G Minor,4,63Pi2NAx5yCgeLhCTOrEou,GBJPX0500001,no
3539,"Miku","Anamanaguchi,Hatsune Miku",128,3B,71,2025-02-10,03:43,71,"vocaloid","Miku",2016-05-24,72,27,0,55,0,10,-6,C♯/D♭ Major,4,7aux5UvnlBDYlrlwoczifW,USA2P1654313,no
3540,"Epoch - The Living Tombstone Remix","Savlonic",176,7A,65,2025-02-10,03:10,61,"","Neon : Remixes",2016-09-19,47,24,0,63,0,10,-10,D Minor,4,5ii47WNgG31ZYDMlGkIfmU,UST8K1623200,no
3541,"Choke","I DONT KNOW HOW BUT THEY FOUND ME",120,9A,85,2025-02-10,03:15,67,"","Choke",2018-08-24,52,0,0,58,0,30,-4,E Minor,4,37mfTcSlX60JtAvAETytGs,TCADH1774692,no
3542,"Good Luck, Babe!","Chappell Roan",117,10A,58,2025-02-10,03:38,90,"","Good Luck, Babe!",2024-04-05,70,5,0,79,0,0,-6,B Minor,4,0WbMK4wrZ1wFSty9F7FCgu,USUG12401967,no
3543,"Diet Pepsi","Addison Rae",150,6B,56,2025-02-10,02:49,77,"","Diet Pepsi",2024-08-09,67,50,1,84,0,10,-7,A#/B♭ Major,4,6MzofobZt2dm0Kf1hTThFz,USSM12405456,no
3544,"Born Again (feat. Doja Cat & RAYE)","LISA,Doja Cat,RAYE",115,3B,78,2025-02-14,03:51,71,"k-pop, ","Born Again (feat. Doja Cat & RAYE)",2025-02-06,69,7,0,37,0,0,-5,C♯/D♭ Major,4,4CPuDVC8jhhK6lA2DIt8Cf,USRC12403763,yes
3545,"make you mine","Madison Beer",123,11A,64,2025-02-14,03:41,76,"","make you mine",2024-02-09,53,22,1,49,0,20,-6,F#/G♭ Minor,4,48vIfHaK7by6x0T6ucpODL,USSM12400758,no
3546,"Escapism.","RAYE,070 Shake",96,10B,74,2025-02-14,04:32,83,"","My 21st Century Blues",2023-02-03,54,14,0,25,10,0,-5,D Major,4,5mHdCZtVyb4DcJw8799hZp,QMDA62217995,yes
3547,"APT.","ROSÉ,Bruno Mars",149,5A,78,2025-02-15,02:49,85,"k-pop, ","rosie",2024-12-06,78,3,0,94,20,30,-4,C Minor,4,4wJ5Qq0jBN4ajy7ouZIV1c,USAT22409172,no
3548,"New Woman (feat. ROSALÍA)","LISA,ROSALÍA",141,9B,85,2025-02-17,02:59,70,"k-pop, latin","New Woman (feat. ROSALÍA)",2024-08-15,48,9,0,31,20,0,-5,G Major,5,7ov3TDp5D00Rnu5R1viX4w,USRC12402243,yes
3549,"DIRTY LITTLE SECRET","Nessa Barrett",105,11A,51,2025-02-17,03:34,60,"","AFTERCARE",2024-11-15,42,27,0,23,0,10,-7,F#/G♭ Minor,4,2LaLzmU2vny0lwlyi6sCp2,USWB12403884,no
3550,"Harpy Hare","Yaelokre",130,10B,53,2025-02-17,03:00,3,"","Harpy Hare",2024-01-04,65,64,0,35,0,20,-12,D Major,4,35I2E525yJpUQ5ZJgfxizT,QZWFP2367225,no
3551,"RIVA (Restart the Game) - Radio Edit","Klingande,Broken Back",124,7A,74,2025-02-20,03:00,32,"tropical house, deep house, folk pop","The Album",2019-11-15,62,11,0,54,0,0,-6,D Minor,4,2nHkcMeJ81Ew6iBFJsEeyr,FR9W11502027,no
3552,"ALICE","PEGGY",100,8A,67,2025-02-20,02:33,70,"","ALICE",2023-10-27,63,22,0,54,0,10,-7,A Minor,4,1c4hrCYvdfJ6IQM0tf9bk1,CAN112301922,no
3553,"You'll Be Mine","The Pierces",127,7A,81,2025-02-20,03:24,17,"","You'll Be Mine",2011-01-01,60,16,0,71,0,0,-6,D Minor,4,0IkmF4LOhKSAtOdDkGmnVu,GBUM71026861,no
3554,"Secret","The Pierces",138,8A,49,2025-02-20,03:49,59,"","Thirteen Tales Of Love And Revenge",2008-10-27,58,6,0,24,0,20,-7,A Minor,3,7eoC95sT8KxeZGPAikDOAm,GBPPE0600004,no
3555,"Three Wishes","The Pierces",84,7A,37,2025-02-20,03:41,40,"","Thirteen Tales Of Love And Revenge",2008-10-27,40,10,3,19,0,10,-8,D Minor,4,3JqlvBYHgdJE7le7eVueuQ,GBPPE0600011,no
3556,"Boring","The Pierces",97,3B,60,2025-02-20,03:28,33,"","Thirteen Tales Of Love And Revenge",2008-10-27,65,0,0,63,0,80,-5,C♯/D♭ Major,4,05WQP8NPwz7toQUaJsR8bT,GBPPE0600005,no
3557,"Love Let Me Go","Said The Sky,Dia Frampton",175,12A,83,2025-02-22,04:01,42,"melodic bass, future bass, edm, chillstep","Love Let Me Go",2025-02-21,38,1,0,14,0,10,-4,C♯/D♭ Minor,4,7bJhgRTEevQQksYPbXKxRR,NL8RL2502427,no
3558,"fun.","zensei ゼンセー",130,1A,87,2025-02-23,02:50,20,"stutter house","fun.",2024-09-27,65,49,77,12,0,10,-8,G#/A♭ Minor,4,4aXovMxAyOhvrrqkQeiwdG,NLRD52258041,no
3559,"The Long Way Home - zensei ゼンセー Remix","Midnight Kids,Noelle Johnson,zensei ゼンセー",133,7B,70,2025-02-23,03:59,13,"melodic bass, future bass, stutter house","The Long Way Home (Remixes)",2024-10-08,73,67,0,23,0,10,-7,F Major,4,69vLVBLvv0vtPuVTBkyeu6,NL8RL2426870,no
3560,"Cyan Blue","Magic Wands",117,9B,59,2025-02-23,03:18,38,"","Cyan Blue",2019-05-21,60,25,76,54,0,20,-10,G Major,4,6Gp7OIBVSA7RPGIT9deanU,SE5751979427,no
3561,"Crystals","Magic Wands",119,10A,63,2025-02-23,03:47,34,"","Aloha Moon",2012-04-24,63,14,68,43,0,10,-6,B Minor,4,0Nu6VwhkyJAHnQHsoARJOO,USN2F0810101,no
3562,"The Unknowing","Jfarrari",180,10A,88,2025-02-23,03:17,55,"darkwave, post-punk, cold wave","The Unknowing",2023-09-01,48,1,68,69,0,10,-6,B Minor,4,4IydMf0i20TL6et0yBg29n,QZTAT2357388,no
3563,"Witches","Alice Phoebe Lou",73,4B,72,2025-02-23,03:15,1,"","Witches",2020-03-13,58,3,0,73,0,10,-6,G#/A♭ Major,4,5BBK1WoaiD3b3sJ2UysLuM,GBKPL2089608,no
3564,"How Can I Make It OK?","Wolf Alice",117,8B,70,2025-02-23,04:47,61,"indie","Blue Weekend",2021-06-04,46,2,1,20,0,10,-5,C Major,4,2vy48b6ad55AzooT8Mg2nY,GBK3W2001633,no
3565,"Smile","Wolf Alice",187,12B,77,2025-02-23,03:16,56,"indie","Blue Weekend",2021-06-04,37,0,92,38,0,0,-5,E Major,4,0mjOx4zUlL5t4rF1xnrfvi,GBK3W2001631,yes
3566,"Lipstick On The Glass","Wolf Alice",94,9B,64,2025-02-23,04:07,64,"indie","Blue Weekend",2021-06-04,30,10,15,19,0,10,-6,G Major,4,0jGAm66ie0uOt7bYmXG64f,GBK3W2001630,no
3567,"You&I","Aurora Night",117,12A,88,2025-02-23,04:02,25,"chillstep","You&I",2025-02-14,60,1,10,12,0,10,-5,C♯/D♭ Minor,4,1uYUNUD9w8dTi7AuUcxbjq,USLZJ2529284,no
3568,"MAYDAY!","Divide Music",138,11A,53,2025-02-23,02:52,31,"anime rap, anime","MAYDAY!",2025-02-14,55,2,0,33,0,30,-6,F#/G♭ Minor,4,6EfGohi2TnHBguMhmZRvvZ,QZPEW2583300,no
3569,"Distant Memories","Navjaxx,VXLLAIN",140,5A,68,2025-02-23,04:13,46,"synthwave, electroclash, chillwave","Distant Memories",2025-02-14,46,27,67,25,0,10,-7,C Minor,4,6uieCqkmV3CCu2wrt4VHYS,GX89G2518944,no
3570,"Maze Of Memories","Lynnic,ItsArius,Dinia",125,4A,56,2025-02-23,03:23,67,"stutter house, melodic house, deep house","Maze Of Memories",2025-02-14,43,77,55,5,0,10,-11,F Minor,4,4ynY3o2BtztX3AdESEe3St,FR10S2524206,no
3571,"Embrace","Navjaxx",162,4B,75,2025-02-25,02:51,36,"synthwave, electroclash","Embrace",2024-07-05,59,67,94,29,0,10,-7,G#/A♭ Major,4,3747cF3H8SH57AyvlBqcNh,QM6P42472365,no
3572,"Stele","Ioana Ignat",180,5A,78,2025-02-25,02:45,7,"","Ioana Ignat",2024-04-26,57,3,0,45,20,10,-6,C Minor,4,68KMnVqyfXzJn16s3oi3U4,QM6MZ2414038,no
3573,"Theme Song (From  Love and Deepspace )","Aeryth",170,12A,29,2025-03-01,03:39,28,"","Theme Song (From  Love and Deepspace )",2024-07-26,34,80,9,4,0,30,-14,C♯/D♭ Minor,4,2WhTGVkS19QFa22dfWxet9,QZTAT2431687,no
3574,"All In My Head","Alaina Pamela",160,11B,38,2025-03-01,04:47,29,"","Depth Of My Heart",2023-09-15,42,82,0,7,0,0,-10,A Major,3,3jBQrg49mUZN61eTBu1Iyz,QZSYP2333614,no
3575,"Into the Dark","Lynn",122,9A,80,2025-03-01,03:10,19,"afro house, psytrance","Into the Dark",2023-06-26,46,15,0,18,0,10,-3,E Minor,4,4aCxKCF0Aggp7urOyVNl01,QZXLZ2317817,no
3576,"Broken","Måns Zelmerlöw",105,6B,48,2025-03-02,03:09,21,"","Revolution",2025-02-21,56,38,0,39,0,0,-8,A#/B♭ Major,4,0tdVyRqtkZ6lpQA5y9uHkw,SEPQA2500034,no
3577,"Oblivion","BEAUZ,hayve,Jantine",174,3A,92,2025-03-02,02:32,37,"hard techno, techno, hypertechno, drum and bass, drumstep, ","Oblivion",2025-02-20,57,3,0,18,0,0,-3,A#/B♭ Minor,4,0QHo2C0zCM4paxa04PsJhU,CA6D22400658,no
3578,"Unforgiven","Tender Misfit",120,9B,72,2025-03-02,03:36,28,"","Unforgiven",2024-04-05,50,21,0,15,0,10,-8,G Major,4,0v5aQFc4XqGE3elusG0P4o,QZHN52480647,no
3579,"I Ran (So Far Away)","King Vagabond",150,10A,61,2025-03-03,03:08,28,"","I Ran (So Far Away)",2023-10-13,49,1,0,12,0,10,-10,B Minor,4,0sd2xBT2NQVfNDojhUuLhM,QZTAZ2366294,no
3580,"When I Misbehave","Benicio Gray,Ariana Nichole",170,6A,72,2025-03-03,03:06,19,"","When I Misbehave",2024-10-11,62,26,0,39,0,10,-6,G Minor,4,1vI012aqF96lj0ERCnh39B,QZWFL2407267,yes
3581,"Crimson & Violet","Anastasia Elliot",94,8A,76,2025-03-03,04:18,22,"","La Petite Mort",2023-08-25,52,0,0,43,0,10,-5,A Minor,3,3dcJEWKtdoqdve6Tl13lfv,QZQAY2379548,no
3582,"Hunter of Fate","Tamlin.",120,3A,46,2025-03-03,03:40,23,"","Hunter of Fate",2023-10-27,85,7,0,52,0,10,-9,A#/B♭ Minor,4,4yVRKycrMKxHenIG4VL9qW,QZTB22386760,no
3583,"Hold My Hand","Ugg'A,Skye Paula",110,5B,77,2025-03-03,03:20,37,"slap house","Hold My Hand",2023-08-25,69,13,1,16,0,20,-7,D#/E♭ Major,4,0RXiGEowf3kRvlCmFEq2De,QZTV32344735,no
3584,"No Means No","Luna Maar",129,10A,35,2025-03-03,05:22,12,"","No Means No",2025-01-14,58,71,0,9,0,10,-12,B Minor,4,0ZnxsVdejUgtbKjzPovlzG,QZFYY2517930,no
3585,"The Door","Teddy Swims",128,1A,86,2025-03-04,03:32,89,"","I've Tried Everything But Therapy (Part 1)",2023-09-15,73,2,0,76,0,10,-5,G#/A♭ Minor,4,3dj4wgM3cPeuLwMNHDuBon,USWB12302870,no
3586,"In My Head","Gryffin,Kaskade,Nu-La",132,8A,90,2025-03-04,03:35,60,"edm, melodic bass, future bass, drum and bass","In My Head",2025-01-31,58,6,0,5,0,40,-5,A Minor,4,5zXfHNzmiGLpMJhzFdD7bM,QZJ842404721,no
3587,"Kings","The Pierces",96,9A,87,2025-03-04,04:03,30,"","Creation",2014-01-01,61,16,0,56,0,0,-5,E Minor,4,7MztopSZYIdJdE0NPtIRxX,GBUM71400016,no
3588,"Feel You Here","Alaina Pamela",90,1A,74,2025-03-04,03:24,13,"","Depth Of My Heart",2023-09-15,21,2,3,9,0,0,-10,G#/A♭ Minor,4,3514grVN5RM0k1M5sEFz4J,QZQAY2325805,no
3589,"Lie To Me","ZØ Marie",152,4A,56,2025-03-05,03:06,16,"","Lie To Me",2024-06-14,52,3,0,26,0,20,-8,F Minor,4,0WeeQkZ0M6vjnXawfH3fHM,QZPBN2100049,no
3590,"One Of The Girls (with JENNIE, Lily Rose Depp)","The Weeknd,JENNIE,Lily-Rose Depp",85,4B,64,2025-03-09,04:04,93,"k-pop, ","The Idol Episode 4 (Music from the HBO Original Series)",2023-06-23,26,4,0,19,0,10,-6,G#/A♭ Major,4,7CyPwkp0oE8Ro9Dd5CUDjW,USUG12303881,no
3591,"Hypnotized (feat. Ellie Goulding)","Anyma,Ellie Goulding",125,7B,93,2025-03-09,03:00,6,"melodic techno, melodic house, techno, stutter house, ","Hypnotized",2025-01-10,73,8,0,39,10,10,-5,F Major,4,16qhKHGz2mDlFrxvNLYeHW,USUG12407612,no
